Date,Open,High,Low,Close,Adj Close,Volume
7/12/2019,1143.98999,1147.339966,1138.780029,1144.900024,1144.900024,864000
7/15/2019,1146.859985,1150.819946,1139.400024,1150.339966,1150.339966,903800
7/16/2019,1146,1158.579956,1145,1153.579956,1153.579956,1238800
7/17/2019,1150.969971,1158.359985,1145.77002,1146.349976,1146.349976,1170000
7/18/2019,1141.73999,1147.60498,1132.72998,1146.329956,1146.329956,1290700
7/19/2019,1148.189941,1151.140015,1129.619995,1130.099976,1130.099976,1647200
7/22/2019,1133.449951,1139.25,1124.23999,1138.069946,1138.069946,1301500
7/23/2019,1144,1146.900024,1131.800049,1146.209961,1146.209961,1093700
7/24/2019,1131.900024,1144,1126.98999,1137.810059,1137.810059,1589800
7/25/2019,1137.819946,1141.699951,1120.920044,1132.119995,1132.119995,2209800
7/26/2019,1224.040039,1265.550049,1224,1250.410034,1250.410034,4805800
7/29/2019,1241.050049,1247.369995,1228.22998,1239.410034,1239.410034,2223700
7/30/2019,1225.410034,1234.869995,1223.300049,1225.140015,1225.140015,1453300
7/31/2019,1223,1234,1207.764038,1216.680054,1216.680054,1725500
8/1/2019,1214.030029,1234.109985,1205.719971,1209.01001,1209.01001,1698500
8/2/2019,1200.73999,1206.900024,1188.939941,1193.98999,1193.98999,1645100
8/5/2019,1170.040039,1175.23999,1140.140015,1152.319946,1152.319946,2597500
8/6/2019,1163.310059,1179.959961,1160,1169.949951,1169.949951,1709400
8/7/2019,1156,1178.444946,1149.624023,1173.98999,1173.98999,1444300
8/8/2019,1182.829956,1205.01001,1173.02002,1204.800049,1204.800049,1468000
8/9/2019,1197.98999,1203.880005,1183.603027,1188.01001,1188.01001,1065700
8/12/2019,1179.209961,1184.959961,1167.671997,1174.709961,1174.709961,1003000
8/13/2019,1171.459961,1204.780029,1171.459961,1197.27002,1197.27002,1294400
8/14/2019,1176.310059,1182.300049,1160.540039,1164.290039,1164.290039,1578700
8/15/2019,1163.5,1175.839966,1162.109985,1167.26001,1167.26001,1218700
8/16/2019,1179.550049,1182.719971,1171.810059,1177.599976,1177.599976,1313300
8/19/2019,1190.089966,1206.98999,1190.089966,1198.449951,1198.449951,1231600
8/20/2019,1195.25,1196.060059,1182.109985,1182.689941,1182.689941,915500
8/21/2019,1193.150024,1199,1187.430054,1191.25,1191.25,740700
8/22/2019,1194.069946,1198.011963,1178.579956,1189.530029,1189.530029,947500
8/23/2019,1181.98999,1194.079956,1147.75,1151.290039,1151.290039,1687000
8/26/2019,1157.26001,1169.469971,1152.959961,1168.890015,1168.890015,1226100
8/27/2019,1180.530029,1182.400024,1161.449951,1167.839966,1167.839966,1077200
8/28/2019,1161.709961,1176.420044,1157.300049,1171.02002,1171.02002,802000
8/29/2019,1181.119995,1196.060059,1181.119995,1192.849976,1192.849976,1088400
8/30/2019,1198.5,1198.5,1183.802979,1188.099976,1188.099976,1129800
9/3/2019,1177.030029,1186.890015,1163.199951,1168.390015,1168.390015,1479900
9/4/2019,1176.709961,1183.47998,1171,1181.410034,1181.410034,1068900
9/5/2019,1191.530029,1213.040039,1191.530029,1211.380005,1211.380005,1408100
9/6/2019,1208.130005,1212.015015,1202.521973,1204.930054,1204.930054,1072100
9/9/2019,1204,1220,1192.619995,1204.410034,1204.410034,1471900
9/10/2019,1195.150024,1210,1194.579956,1206,1206,1260100
9/11/2019,1203.410034,1222.599976,1202.199951,1220.170044,1220.170044,1307000
9/12/2019,1224.300049,1241.859985,1223.02002,1234.25,1234.25,1725900
9/13/2019,1231.349976,1240.880005,1227.01001,1239.560059,1239.560059,1301400
9/16/2019,1229.52002,1239.560059,1225.609985,1231.300049,1231.300049,1053300
9/17/2019,1230.400024,1235,1223.689941,1229.150024,1229.150024,955100
9/18/2019,1227.51001,1235.609985,1216.530029,1232.410034,1232.410034,1135100
9/19/2019,1232.060059,1244.439941,1232.02002,1238.709961,1238.709961,996000
9/20/2019,1233.119995,1243.319946,1223.079956,1229.930054,1229.930054,2270000
9/23/2019,1226,1239.089966,1224.170044,1234.030029,1234.030029,1062400
9/24/2019,1240,1246.73999,1210.680054,1218.76001,1218.76001,1583200
9/25/2019,1215.819946,1248.300049,1210.089966,1246.52002,1246.52002,1453000
9/26/2019,1241.959961,1245,1232.267944,1241.390015,1241.390015,1538000
9/27/2019,1243.01001,1244.02002,1214.449951,1225.089966,1225.089966,1353900
9/30/2019,1220.969971,1226,1212.300049,1219,1219,1404100
10/1/2019,1219,1231.22998,1203.579956,1205.099976,1205.099976,1273500
10/2/2019,1196.97998,1196.97998,1171.290039,1176.630005,1176.630005,1615100
10/3/2019,1180,1189.060059,1162.430054,1187.829956,1187.829956,1621200
10/4/2019,1191.890015,1211.439941,1189.170044,1209,1209,1162400
10/7/2019,1204.400024,1218.203979,1203.75,1207.680054,1207.680054,842900
10/8/2019,1197.589966,1206.079956,1189.01001,1189.130005,1189.130005,1039300
10/9/2019,1199.349976,1208.349976,1197.630005,1202.310059,1202.310059,867700
10/10/2019,1198.579956,1215,1197.339966,1208.670044,1208.670044,846600
10/11/2019,1222.209961,1228.390015,1213.73999,1215.449951,1215.449951,1272700
10/14/2019,1212.339966,1226.329956,1211.76001,1217.140015,1217.140015,867500
10/15/2019,1220.400024,1247.329956,1220.400024,1243.01001,1243.01001,1381700
10/16/2019,1241.170044,1254.73999,1238.449951,1243.640015,1243.640015,1094600
10/17/2019,1250.930054,1263.324951,1249.939941,1253.069946,1253.069946,952400
10/18/2019,1253.459961,1258.890015,1241.079956,1245.48999,1245.48999,1352800
